Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,11,1,8,2,10,3,4,5
La Montagne,10,1,4,3,11,2,8,5
La Provence,8,11,3,2,1,10,4,16
Aisne Nouvelle,8,2,4,15,11,10,1,3
La République du Centre,4,2,3,1,8,10,5,11
La Voix du Nord,8,1,3,4,10,15,11,9
Le Courrier Picard,1,10,11,4,2,8,3,16
Le Dauphiné Libéré,8,11,2,15,10,1,4,3
Le Matin de Lausanne,10,1,4,2,8,15,3,11
Le Parisien,4,8,10,2,3,11,1,5
Le Progrès de Lyon,1,11,2,8,3,4,10,16
Bilto,4,1,2,3,8,10,11,15
Le Quotidien de la Réunion,4,8,3,11,1,10,5,2
Le Télégramme de Brest,4,8,10,2,15,11,5,1
Les 7 de week-end,1,8,11,4,10,2,3,5
Midi-Libre,1,8,11,3,2,10,4,12
Nice Matin,4,2,3,8,10,11,1,5
Nve. Rep. Centre-Ouest,4,8,11,1,3,2,10,16
Ouest-France,4,3,10,1,11,8,5,2
Paris Normandie,8,11,2,1,10,3,5,4
Paris Turf,4,11,1,10,2,8,3,15
Centre Presse Poitiers,4,8,2,10,11,3,1,15
République des Pyrénées,1,2,3,4,8,11,10,16
Week-End,8,3,4,11,15,2,1,5
Charente Libre,8,1,3,4,10,15,11,9
Europe 1,8,1,10,2,3,4,11,5
L'Echo du Centre,1,4,11,3,2,8,10,15
L'Eveil,2,8,1,3,11,10,4,5
L'Yonne Républicaine,4,2,10,11,8,3,1,15
L'indépendant,1,10,11,4,8,15,3,2
